STATION,TOPO,LATI,LONG
1,Abbaye St-Denis,50.49394893,4.019991955
2,Rue de l'Egalite,50.473967,3.96235
3,Chasse Cambier,50.46899969,3.953680922
4,Mel Legumes,50.470772,3.954713
5,Les Gourmandes de la Procession,50.45969782,3.973004076
6,Jean d'Avesnes,50.451622,3.96755
7,Parc du bois de Mons,50.451631,3.967586
8,Jardin Suspendu,50.44686127,3.95097208
9,Ecole de l'Esperance,50.443407,3.948666
10,Fond du petit marais,50.454929,3.891839
11,Village des abeilles,50.462715,3.955145
12,Siege social,50.45851,3.951112
13,Parc du Beffroi,50.454331,3.949319
14,Stievenart,50.444886,3.957283
15,Parc Bonaert,50.476063,3.907463
