Apis	Rodanthidium_sticticum	Anthophora_acervorum	Pseudophilotes_panoptes	Sarcophagidae_4	Ichneumonidae_6	Microlepidoptera	Lasioglossum_mediterraneum	Paragus_tibialis	Chamaesyrphus	Lobonyx_aeneus	Oxythyrea_funesta	Clanoptilus_abdominalis	Aplocnemus_calidus	Sarcophagidae_5	Lasioglossum_interruptum	Adela_aldrovandella	Hylaeus_garrulus	Anaspis	Halictus_tetrazonius	Gonopteryx_cleopatra	Miridae_3	Mosca_8	Sarcophagidae_3	Dasytes_nigroaeneus	Lasioglossum_transitorium_planulum	Empididae	Mosca_mitjana_1	Clytra_quadripunctata	Eristalinus_aeneus	Himenopter_molt_petit	Hylaeus_hyalinatus	Anthrenus_2	Mosca_16	Andrena_angustior_impressa
59	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1
178	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
122	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	1
119	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0
65	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1
28	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2
30	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0
32	2	0	1	0	0	0	0	0	4	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1
82	0	0	0	1	0	0	0	0	0	5	3	0	0	0	0	0	1	0	0	0	0	0	0	0	4	2	0	0	0	0	1	0	0	0
33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
21	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	2
30	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
143	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0
55	1	0	0	0	0	0	0	0	0	21	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	0	0	2	2	1	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
