"artificial";"sol_nu_tot";"bois_total";"agricol_to";"espace_ouv";"eau_perman";"layer"
2,136;0,004;95,53;0,242;1,736;0;"Bois_de_Bon-Secours"
11,407;2,239;39,29;31,914;12,355;0,284;"Bois_de_Wadelincourt"
5,825;6,274;0,238;82,728;0,772;3,785;"Chemin_de_Roucourt"
8,08;0,086;16,606;38,068;15,111;21,371;"Chemin_de_Trainage"
21,01;1,55;32,472;13,917;29,392;0,061;"Friche_des_Vignobles"
6,865;0,007;27,164;13,758;49,619;0,328;"Marais_de_Douvrais"
10,315;0,403;24,94;49,602;12,179;0;"Marcasse"
7,512;1,316;71,522;1,607;16,779;0;"Mer_de_Sable"
9,361;0,002;73,717;8,049;7,547;0,014;"Mont_Ostènes"
11,953;0,137;38,961;38,032;8,73;0,394;"Parc_de_Jemappes"
10,134;0,006;42,286;15,133;30,68;0;"Parc_des_5_Rocs"
14,175;0,008;47,392;13,545;16,588;1,103;"Pré_à_Parchon"
42,174;0,119;24,903;18,527;12,608;0,052;"Ravel98"
19,191;0,057;20,234;51,911;7,36;0,124;"Rue_Jean_Winance"
39,534;1,264;25,447;20,772;11,398;0,036;"Rue_La-dessous"
19,737;0,017;20,298;46,555;7,598;2,504;"Rue_de_Carne"
29,572;0,182;31,834;17,636;18,249;0,066;"Rue_de_Castillon"
2,769;0,042;12,225;42,814;2,275;38,612;"Rue_du_Bois"
18,635;0,338;35,585;15,748;21,002;4,537;"Vieill_Haine"
43,609;0,616;7,422;39,57;7,287;0,431;"station_ancienne_gare250"
1,231;0,005;97,229;0,169;1,194;0;"station_bois_havré250"
0,963;29,378;1,838;64,786;1,82;0,715;"station_camp-a-cayaux250"
19,775;0,066;25,375;33,59;14,549;3,863;"station_cascade250"
21,66;0,026;20,072;35,929;8,574;10,32;"station_chateau_havré250"
5,084;0,006;4,84;82,998;5,141;0,362;"station_cimetierre_spienne250"
59,24;0,04;11,627;14,174;13,675;0,01;"station_epargne250"
42,636;0,01;11,381;33,901;8,01;0;"station_gare250"
25,306;0,147;30,816;18,673;7,73;15,864;"station_gd_large250"
11,903;0,063;6,879;75,894;3,424;0;"station_géothermia250"
65,615;0,072;14,06;7,876;7,121;3,033;"station_haine250"
80,712;0,003;7,264;3,7;7,489;0,044;"station_jardin_suspendu250"
2,633;0,001;34,07;46,469;14,427;1,26;"station_mont_panisel250"
11,94;0;26,4;44,905;13,007;1,664;"station_moulin250"
28,573;0,343;19,008;34,649;15,175;0,016;"station_notre_dame_petit_nimy250"
18,382;31,043;23,267;10,203;13,658;0,04;"station_omya250"
35,801;0,065;27,837;10,972;10,489;12,418;"station_parc_obourg250"
23,399;0,214;28,898;28,551;11,23;2,892;"station_pemh_obourg250"
9,446;0,054;24,928;56,329;7,795;0,005;"station_pont_prince250"
14,031;0,165;38,757;26,121;16,914;0,851;"station_prés_du_village250"
30,748;0,067;34,462;18,675;14,018;0,274;"station_ronveaux250"
2,56;0;29,735;59,556;5,552;0,677;"station_silex250"
78,413;0,301;14,383;2,089;4,329;0,021;"station_social250"
77,297;0,158;11,712;3,843;6,341;0,002;"station_st_waudru250"
7,115;0;77,553;5,541;7,031;1,458;"station_tilou250"
9,039;0,007;7,626;73,527;6,54;1,866;"station_trouille250"
67,195;0,166;16,096;7,244;8,569;0,055;"station_village_abeille250"
1,583;0;85,886;0,074;7,918;0;"Nom_MLM10"
8,908;13,815;10,333;51,652;8,211;5,783;"Nom_MLM14"
13,838;5,229;15,61;36,622;11,818;15,303;"Nom_MLM17"
8,886;0,711;57,069;2,981;27,883;0,408;"Nom_MLM2"
2,692;0,121;83,94;2,297;6,845;0;"Nom_MLM7"
15,392;1,516;23,186;33,824;21,252;0,031;"Station_Terril Bayemont-Saint Charles"
11,533;0,032;39,428;26,988;19,116;0,057;"Station_Terril Belle vue du huite"
12,51;2,775;23,008;47,309;12,229;0;"Station_Terril Ciply st1"
4,163;0,635;19,27;66,035;5,902;0;"Station_Terril Dix-Huit"
14,503;0,141;22,001;43,589;16,92;0;"Station_Terril Ferrand"
16,672;0;15,755;48,962;16,182;0;"Station_Terril Grand Buisson"
1,587;0,008;66,674;3,151;17,853;9,609;"Station_Terril Hensie"
1,639;0,223;75,754;5,207;13,721;0;"Station_Terril HÃ©ribus st1"
15,133;0,052;27,584;18,382;36,114;0;"Terril Naye-à-bois"
18,743;0,003;22,615;8,836;47,043;0,004;"Station_Terril Pays-Bas"
14,051;13,918;22,154;32,246;15,515;0;"Station_Terril Quesnoy st1"
14,222;0,074;22,038;28,392;30,86;0,027;"Station_Terril Rieux du Coeur"
13,486;0,038;21,188;4,659;55,529;0,029;"Station_Terril SacrÃ©-FranÃ§ais st1"
5,738;11,594;26,311;42,212;10,704;0,003;"Station_Terril Saint Antoine st2"
2,601;20,055;42,549;25,901;6,679;0,095;"Station_Terril Saint Antoine st3"
17,418;1,46;27,996;17,346;31,718;0,006;"Station_Terril Sept st1"
2,697;5,79;13,168;24,99;51,1;0;"Station_Terril Sept st3"
0,317;2,858;60,622;8,655;16,583;6,607;"Station_Terril Trazegnies st1"
13,999;7,345;27,828;24,28;18,932;4,102;"Terril de la cokerie stat 1"
6,123;15,587;21,652;30,344;19,474;3,788;"terril de la cokerie stat 2"
