fid,Stations,Nom,LONG,LAT,Station,y,x,layer,path
21,Aerodrome de Maubray,,,,,,,Aérodrome_de_Maubray fid_21,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Aérodrome_de_Maubray.gpkg|layername=fid_21
13,Bois de Bon-Secours,,,,,,,Bois_de_Bon-Secours fid_13,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Bois_de_Bon-Secours.gpkg|layername=fid_13
12,Bois de Wadelincourt,,,,,,,Bois_de_Wadelincourt fid_12,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Bois_de_Wadelincourt.gpkg|layername=fid_12
20,Chemin de Jérusalem,,,,,,,Chemin_de_Jérusalem fid_20,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Chemin_de_Jérusalem.gpkg|layername=fid_20
19,Rue de Roucourt,,,,,,,Chemin_de_Roucourt fid_19,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Chemin_de_Roucourt.gpkg|layername=fid_19
11,Chemin du Trainage,,,,,,,Chemin_de_Trainage fid_11,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Chemin_de_Trainage.gpkg|layername=fid_11
10,Friche des Vignobles,,,,,,,Friche_des_Vignobles fid_10,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Friche_des_Vignobles.gpkg|layername=fid_10
9,Marais de Douvrain,,,,,,,Marais_de_Douvrais fid_9,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Marais_de_Douvrais.gpkg|layername=fid_9
18,Marcasse,,,,,,,Marcasse fid_18,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Marcasse.gpkg|layername=fid_18
8,Mer de Sable,,,,,,,Mer_de_Sable fid_8,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Mer_de_Sable.gpkg|layername=fid_8
7,Mont Ostènes,,,,,,,Mont_Ostènes fid_7,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Mont_Ostènes.gpkg|layername=fid_7
,,MLM10,"4.18946838916694","50.62889920722012",,,,Nom_MLM10,C:/Users/lalie/Desktop/layer site mémoire/cenroide_martin/Centroide Mercator splitted/Nom_MLM10.shp
,,MLM14,"4.140634467229172","50.5542214145309",,,,Nom_MLM14,C:/Users/lalie/Desktop/layer site mémoire/cenroide_martin/Centroide Mercator splitted/Nom_MLM14.shp
,,MLM17,"4.140306697729082","50.560359188316326",,,,Nom_MLM17,C:/Users/lalie/Desktop/layer site mémoire/cenroide_martin/Centroide Mercator splitted/Nom_MLM17.shp
,,MLM2,"3.6718754274050687","50.493043397496535",,,,Nom_MLM2,C:/Users/lalie/Desktop/layer site mémoire/cenroide_martin/Centroide Mercator splitted/Nom_MLM2.shp
,,MLM7,"4.17463464141281","50.602530781984846",,,,Nom_MLM7,C:/Users/lalie/Desktop/layer site mémoire/cenroide_martin/Centroide Mercator splitted/Nom_MLM7.shp
6,Parc de Jemappes,,,,,,,Parc_de_Jemappes fid_6,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Parc_de_Jemappes.gpkg|layername=fid_6
17,Parc des 5 Rocs,,,,,,,Parc_des_5_Rocs fid_17,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Parc_des_5_Rocs.gpkg|layername=fid_17
5,Pré à Parchon,,,,,,,Pré_à_Parchon fid_5,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Pré_à_Parchon.gpkg|layername=fid_5
4,Ravel98,,,,,,,Ravel98 fid_4,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Ravel98.gpkg|layername=fid_4
1,Warchin,,,,,,,Rue_Jean_Winance fid_1,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Rue_Jean_Winance.gpkg|layername=fid_1
14,Rue là-dessous,,,,,,,Rue_La-dessous fid_14,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Rue_La-dessous.gpkg|layername=fid_14
3,Rue du Carme,,,,,,,Rue_de_Carne fid_3,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Rue_de_Carne.gpkg|layername=fid_3
15,Rue du Castillon,,,,,,,Rue_de_Castillon fid_15,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Rue_de_Castillon.gpkg|layername=fid_15
16,Rue du bois,,,,,,,Rue_du_Bois fid_16,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Rue_du_Bois.gpkg|layername=fid_16
1,,,,,Terril Bayemont-Saint Charles,,,Station_Terril Bayemont-Saint Charles,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Bayemont-Saint Charles.gpkg|layername=Station_Terril Bayemont-Saint Charles
1,,,,,Terril Belle vue du huite,,,Station_Terril Belle vue du huite,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Belle vue du huite.gpkg|layername=Station_Terril Belle vue du huite
1,,,,,Terril Ciply st1,,,Station_Terril Ciply st1,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Ciply st1.gpkg|layername=Station_Terril Ciply st1
1,,,,,Terril Ciply st2,,,Station_Terril Ciply st2,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Ciply st2.gpkg|layername=Station_Terril Ciply st2
1,,,,,Terril Cokerie st1,,,Station_Terril Cokerie st1,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Cokerie st1.gpkg|layername=Station_Terril Cokerie st1
1,,,,,Terril Cokerie st2,,,Station_Terril Cokerie st2,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Cokerie st2.gpkg|layername=Station_Terril Cokerie st2
1,,,,,Terril Dix-Huit,,,Station_Terril Dix-Huit,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Dix-Huit.gpkg|layername=Station_Terril Dix-Huit
1,,,,,Terril Ferrand,,,Station_Terril Ferrand,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Ferrand.gpkg|layername=Station_Terril Ferrand
1,,,,,Terril Grand Buisson,,,Station_Terril Grand Buisson,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Grand Buisson.gpkg|layername=Station_Terril Grand Buisson
1,,,,,Terril Hensie,,,Station_Terril Hensie,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Hensie.gpkg|layername=Station_Terril Hensie
1,,,,,Terril HÃ©ribus st1,,,Station_Terril HÃ©ribus st1,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril HÃ©ribus st1.gpkg|layername=Station_Terril HÃ©ribus st1
1,,,,,Terril Naye-Ã -Bois,,,Station_Terril Naye-Ã -Bois,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Naye-Ã -Bois.gpkg|layername=Station_Terril Naye-Ã -Bois
1,,,,,Terril Pays-Bas,,,Station_Terril Pays-Bas,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Pays-Bas.gpkg|layername=Station_Terril Pays-Bas
1,,,,,Terril Quesnoy st1,,,Station_Terril Quesnoy st1,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Quesnoy st1.gpkg|layername=Station_Terril Quesnoy st1
1,,,,,Terril Quesnoy st2,,,Station_Terril Quesnoy st2,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Quesnoy st2.gpkg|layername=Station_Terril Quesnoy st2
1,,,,,Terril Rieux du Coeur,,,Station_Terril Rieux du Coeur,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Rieux du Coeur.gpkg|layername=Station_Terril Rieux du Coeur
1,,,,,Terril SacrÃ©-FranÃ§ais st1,,,Station_Terril SacrÃ©-FranÃ§ais st1,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril SacrÃ©-FranÃ§ais st1.gpkg|layername=Station_Terril SacrÃ©-FranÃ§ais st1
1,,,,,Terril Saint Antoine st1,,,Station_Terril Saint Antoine st1,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Saint Antoine st1.gpkg|layername=Station_Terril Saint Antoine st1
1,,,,,Terril Saint Antoine st2,,,Station_Terril Saint Antoine st2,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Saint Antoine st2.gpkg|layername=Station_Terril Saint Antoine st2
1,,,,,Terril Saint Antoine st3,,,Station_Terril Saint Antoine st3,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Saint Antoine st3.gpkg|layername=Station_Terril Saint Antoine st3
1,,,,,Terril Sept st1,,,Station_Terril Sept st1,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Sept st1.gpkg|layername=Station_Terril Sept st1
1,,,,,Terril Sept st2,,,Station_Terril Sept st2,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Sept st2.gpkg|layername=Station_Terril Sept st2
1,,,,,Terril Sept st3,,,Station_Terril Sept st3,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Sept st3.gpkg|layername=Station_Terril Sept st3
1,,,,,Terril Trazegnies st1,,,Station_Terril Trazegnies st1,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Trazegnies st1.gpkg|layername=Station_Terril Trazegnies st1
1,,,,,Terril Trazegnies st2,,,Station_Terril Trazegnies st2,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Trazegnies st2.gpkg|layername=Station_Terril Trazegnies st2
