espece;ITD;STI;SCI;Nesting;Lectisme;Sociality;Statut IUCN
Ammobates punctatus;1.87;10.146;6.8903;Underground;Polylectic;Cleptoparasite;CR
Andrena albofasciata;2.24;10.058;5.6263;Underground;Polylectic;Solitary;NT
Andrena angustior;1.88;9.6383;4.8707;Underground;Polylectic;Solitary;NT
Andrena barbilabris;2.34;6.88;6.2917;Underground;Polylectic;Solitary;LC
Andrena bicolor;2.1;8.0216;5.6914;Underground;Polylectic;Solitary;LC
Andrena carantonica;2.72;7.4695;6.5598;Underground;Polylectic;Solitary;LC
Andrena chrysosceles;1.97;9.4185;5.1978;Underground;Polylectic;Solitary;LC
Andrena cineraria;2.76;7.9441;5.8334;Underground;Polylectic;Solitary;LC
Andrena dorsata;2.03;9.6573;5.2787;Underground;Polylectic;Solitary;LC
Andrena flavipes;2.36;9.712;5.7332;Underground;Polylectic;Solitary;LC
Andrena florea;2.43;10.2579;6.1367;Underground;Oligolectic;Solitary;LC
Andrena fulva;2.78;8.68;5.8217;Underground;Polylectic;Solitary;LC
Andrena fulvago;2.06;7.1724;6.6838;Underground;Oligolectic;Solitary;NT
Andrena fuscipes;2.03;6.8414;6.4625;Underground;Oligolectic;Solitary;LC
Andrena gravida;2.59;9.1747;6.4056;Underground;Polylectic;Solitary;LC
Andrena haemorrhoa;2.63;7.2921;6.1615;Underground;Polylectic;Solitary;LC
Andrena humilis;2.23;7.6749;6.2262;Underground;Oligolectic;Solitary;LC
Andrena labialis;2.7;8.1865;6.4495;Underground;Oligolectic;Solitary;NT
Andrena labiata;1.78;7.6409;6.3554;Underground;Polylectic;Solitary;LC
Andrena minutula;1.43;8.2258;5.7704;Underground;Polylectic;Solitary;LC
Andrena minutuloides;1.39;6.7884;7.2154;Underground;Oligolectic;Solitary;DD
Andrena mitis;2.3;9.2406;6.5379;Underground;Oligolectic;Solitary;LC
Andrena nigroaenea;2.84;8.2147;5.7625;Underground;Polylectic;Solitary;LC
Andrena nitida;2.97;8.6123;5.9711;Underground;Polylectic;Solitary;LC
Andrena nitidiuscula;1.57;9.9224;6.7359;Underground;Oligolectic;Solitary;VU
Andrena ovatula;2.24;10.058;5.6263;Underground;Polylectic;Solitary;NT
Andrena propinqua;1.89;No data;No data;Underground;Polylectic;Solitary;DD
Andrena proxima;1.72;9.5222;5.9878;Underground;Oligolectic;Solitary;LC
Andrena pusilla;1.39;9.8315;5.912;Underground;Polylectic;Solitary;DD
Andrena rosae;2.58;9.5542;5.243;Underground;Oligolectic;Solitary;LC
Andrena semilaevis;1.46;6.6864;6.5266;Underground;Polylectic;Solitary;DD
Andrena subopaca;1.49;6.5104;6.3923;Underground;Polylectic;Solitary;LC
Andrena tibialis;2.85;7.558;6.5863;Underground;Polylectic;Solitary;LC
Andrena vaga;2.76;6.7269;7.1448;Underground;Oligolectic;Solitary;LC
Andrena ventralis;1.6;9.0135;6.7303;Underground;Oligolectic;Solitary;LC
Andrena wilkella;2.27;7.1743;6.3314;Underground;Oligolectic;Solitary;NT
Anthidiellum strigatum;2.44;9.4623;6.8949;Above;Polylectic;Solitary;lc
Anthidium manicatum;3.59;8.3336;6.4502;Mix;Polylectic;Solitary;LC
Anthidium punctatum;2.71;6.6848;7.1457;Underground;Polylectic;Solitary;LC
Anthophora bimaculata;5.64;11.2639;5.2761;Underground;Polylectic;Solitary;CR
Anthophora furcata;3.2;6.2395;7.0203;Above;Polylectic;Solitary;LC
Anthophora plumipes;4.33;9.793;5.8541;Underground;Polylectic;Solitary;LC
Anthophora quadrimaculata;3.25;7.1189;6.7702;Underground;Polylectic;Solitary;LC
Anthophora retusa;3.73;7.2045;6.7773;Underground;Polylectic;Solitary;EN
Bombus barbutellus;5.47;8.428;5.1126;Mix;Polylectic;Social parasite;EN
Bombus bohemicus;4.6;6.1922;6.3845;Mix;Polylectic;Social parasite;NT
Bombus campestris;5.8;7.0124;6.155;Mix;Polylectic;Social parasite;VU
Bombus hortorum;5.83;7.5183;5.3796;Mix;Polylectic;Primitivelyeusocial;NT
Bombus hypnorum;6;6.1941;6.691;Above;Polylectic;Primitivelyeusocial;LC
Bombus lapidarius;6.17;8.3136;5.9263;Mix;Polylectic;Primitivelyeusocial;LC
Bombus lucorum;6.37;7.107;5.5011;Underground;Polylectic;Primitivelyeusocial;NT
Bombus pascuorum;4.32;7.8985;5.7894;Mix;Polylectic;Primitivelyeusocial;LC
