.espece;ITD;STI;SCI;Nesting;Lectisme;Sociality;Statut_IUCN
Ammobates punctatus;1,87;10,15;6,89;Underground;Polylectic;Cleptoparasite;CR
Andrena albofasciata (ovatula);2,24;10,06;5,63;Underground;Polylectic;Solitary;NT
Andrena angustior;1,88;9,64;4,87;Underground;Polylectic;Solitary;NT
Andrena barbilabris;2,34;6,88;6,29;Underground;Polylectic;Solitary;LC
Andrena bicolor;2,10;8,02;5,69;Underground;Polylectic;Solitary;LC
Andrena carantonica;2,72;7,47;6,56;Underground;Polylectic;Solitary;LC
Andrena chrysosceles;1,97;9,42;5,20;Underground;Polylectic;Solitary;LC
Andrena cineraria;2,76;7,94;5,83;Underground;Polylectic;Solitary;LC
Andrena dorsata;2,03;9,66;5,28;Underground;Polylectic;Solitary;LC
Andrena flavipes;2,36;9,71;5,73;Underground;Polylectic;Solitary;LC
Andrena florea;2,43;10,26;6,14;Underground;Oligolectic;Solitary;LC
Andrena fulva;2,78;8,68;5,82;Underground;Polylectic;Solitary;LC
Andrena fulvago;2,06;7,17;6,68;Underground;Oligolectic;Solitary;NT
Andrena fuscipes;2,03;6,84;6,46;Underground;Oligolectic;Solitary;LC
Andrena gravida;2,59;9,17;6,41;Underground;Polylectic;Solitary;LC
Andrena haemorrhoa;2,63;7,29;6,16;Underground;Polylectic;Solitary;LC
Andrena humilis;2,23;7,67;6,23;Underground;Oligolectic;Solitary;LC
Andrena labialis;2,70;8,19;6,45;Underground;Oligolectic;Solitary;NT
Andrena labiata;1,78;7,64;6,36;Underground;Polylectic;Solitary;LC
Andrena minutula;1,43;8,23;5,77;Underground;Polylectic;Solitary;LC
Andrena minutuloides;1,39;6,79;7,22;Underground;Oligolectic;Solitary;DD
Andrena mitis;2,30;9,24;6,54;Underground;Oligolectic;Solitary;LC
Andrena nigroaenea;2,84;8,21;5,76;Underground;Polylectic;Solitary;LC
Andrena nitida;2,97;8,61;5,97;Underground;Polylectic;Solitary;LC
Andrena nitidiuscula;1,57;9,92;6,74;Underground;Oligolectic;Solitary;VU
Andrena ovatula;2,24;10,06;5,63;Underground;Polylectic;Solitary;NT
Andrena propinqua;1,89;No data;No data;Underground;Polylectic;Solitary;DD
Andrena proxima;1,72;9,52;5,99;Underground;Oligolectic;Solitary;LC
Andrena pusilla;1,39;9,83;5,91;Underground;Polylectic;Solitary;DD
Andrena rosae;2,58;9,55;5,24;Underground;Oligolectic;Solitary;LC
Andrena semilaevis;1,46;6,69;6,53;Underground;Polylectic;Solitary;DD
Andrena subopaca;1,49;6,51;6,39;Underground;Polylectic;Solitary;LC
Andrena tibialis;2,85;7,56;6,59;Underground;Polylectic;Solitary;LC
Andrena vaga;2,76;6,73;7,14;Underground;Oligolectic;Solitary;LC
Andrena ventralis;1,60;9,01;6,73;Underground;Oligolectic;Solitary;LC
Andrena wilkella;2,27;7,17;6,33;Underground;Oligolectic;Solitary;NT
Anthidiellum strigatum;2,44;9,46;6,89;Above;Polylectic;Solitary;LC
Anthidium manicatum;3,59;8,33;6,45;Mix;Polylectic;Solitary;LC
Anthidium punctatum;2,71;6,68;7,15;Underground;Polylectic;Solitary;LC
Anthophora bimaculata;5,64;11,26;5,28;Underground;Polylectic;Solitary;CR
Anthophora furcata;3,20;6,24;7,02;Above;Polylectic;Solitary;LC
Anthophora plumipes;4,33;9,79;5,85;Underground;Polylectic ;Solitary;LC
Anthophora quadrimaculata;3,25;7,12;6,77;Underground;Polylectic ;Solitary;LC
Anthophora retusa;3,73;7,20;6,78;Underground;Polylectic;Solitary;EN
Bombus barbutellus;5,47;8,43;5,11;Mix;Polylectic;Social parasite;EN
Bombus bohemicus;4,60;6,19;6,38;Mix;Polylectic;Social parasite;NT
Bombus campestris;5,80;7,01;6,16;Mix;Polylectic;Social parasite;VU
