nom;sp florale Totale;type;;;;;;;;;
terril du  dix-huit;25;agri;;;;;;;;;
Géothermia - IDEA;59;agri;;;;;;;;;
La Trouille;56;agri;;;;;;;;;
Spiennes cimetière;35;agri;;;;;;;;;
Rue du Bois;19;agri;;;;;;;;;
Chemin de Roucourt;26;agri;;;;;;;;;
Terril de l'héribus;30;Bois;;;;;;;;;
Terril n°5 de Trazegnie01;45;Bois;;;;;;;;;
Terril de Hensie;7;Bois;;;;;;;;;
Bois d'Havré;41;Bois;;;;;;;;;
Bois de Bon-Secours;22;Bois;;;;;;;;;
Mont Ostènes;11;Bois;;;;;;;;;
PEMH Obourg - IDEA;21;bord route;;;;;;;;;
Pont du prince;50;bord route;;;;;;;;;
Rue du Castillon;26;bord route;;;;;;;;;
Ravel98;33;bord route;;;;;;;;;
Rue là-dessous;18;bordroute;;;;;;;;;
MLM14;12;carrière;;;;;;;;;
MLM17;13;carrière;;;;;;;;;
Camp-à-cayaux;53;carrière;;;;;;;;;
carrière omya/ le Caufour;27;carrière;;;;;;;;;
Friche des Vignobles;18;carrière;;;;;;;;;
Ancienne Gare;13;friche;;;;;;;;;
Gare;15;friche;;;;;;;;;
Rue Jean Winance;22;friche;;;;;;;;;
Rue du Carme;30;friche;;;;;;;;;
Pré à Parchon;21;friche;;;;;;;;;
Chemin du Trainage;23;friche;;;;;;;;;
Marais de Douvrain Ouest;29;friche;;;;;;;;;
Vieille Haine;11;friche;;;;;;;;;
Silex;45;friche;;;;;;;;;
Cascade d'Hyon;44;Parc;;;;;;;;;
Chateau d'Havré;72;Parc;;;;;;;;;
Parc d'Obourg;61;Parc;;;;;;;;;
Parc de Jemappes;13;Parc;;;;;;;;;
Parc des 5 Rocs;24;Parc;;;;;;;;;
Ancien moulin;48;prairie;;;;;;;;;
Grand Large;17;prairie;;;;;;;;;
Mont-Panisel;58;prairie;;;;;;;;;
Notre dame du petit Nimy;21;prairie;;;;;;;;;
Prés du village;29;prairie;;;;;;;;;
Ronveaux;38;prairie;;;;;;;;;
Tilou;35;prairie;;;;;;;;;
Marcasse;26;prairie;;;;;;;;;
Bois de Wadelincourt;22;prairie ;;;;;;;;;
Aérodrome de Maubray;4;sabliere;;;;;;;;;
MLM2;12;sablière;;;;;;;;;
MLM7;12;sablière;;;;;;;;;
MLM10;6;sablière;;;;;;;;;
Mer de Sable;13;sablière;;;;;;;;;
terril du sept01;41;terril;;;;;;;;;
terril du sept03;43;terril;;;;;;;;;
Terril du Grand Buisson n°1;31;terril;;;;;;;;;
Terril de la Cokerie01;43;terril;;;;;;;;;
Terril de la Cokerie02;30;terril;;;;;;;;;
Terril Naye à Bois;31;terril;;;;;;;;;
Terril Bayemont-st-Charles;35;terril;;;;;;;;;
Terril Sacré Français01;35;terril;;;;;;;;;
Terril n°8 Pays-Bas ;14;terril;;;;;;;;;
Terril saint Antoine01;30;terril;;;;;;;;;
Terril saint Antoine03;13;terril;;;;;;;;;
Terril du Ferrand;25;terril;;;;;;;;;
Terril belle vue du huit;33;terril;;;;;;;;;
Terril de Ciply01;31;terril;;;;;;;;;
Terril Rieu-du-Cœur n°2c;33;terril;;;;;;;;;
Terril du Quesnoy01;31;terril;;;;;;;;;
Epargne - Umons;31;urbain;;;;;;;;;
Jardin suspendu;35;urbain;;;;;;;;;
La Haine;35;urbain;;;;;;;;;
Sainte-Waudru;46;urbain;;;;;;;;;
Siège social - Umons;27;urbain;;;;;;;;;
Village des abeilles - Umons;34;urbain;;;;;;;;;
